929	2239	&Rho;	Ρ	Greek Capital Letter Rho	Greek	L&	Greek	Grek	Greek and Coptic
987	1	&#987;	ϛ	Greek Small Letter Stigma	Greek	L&	Greek	Grek	Greek and Coptic
1045	6291	&#1045;	Е	Cyrillic Capital Letter Ie	Cyrillic	L&	Cyrillic	Cyrl	Cyrillic
1103	139451	&#1103;	я	Cyrillic Small Letter Ya	Cyrillic	L&	Cyrillic	Cyrl	Cyrillic
1161	118	&#1161;	҉	Combining Cyrillic Millions Sign	Cyrillic	Me	Cyrillic	Cyrl	Cyrillic
1277	1	&#1277;	ӽ	Cyrillic Small Letter Ha With Hook	Cyrillic	L&	Cyrillic	Cyrl	Cyrillic
1335	3	&#1335;	Է	Armenian Capital Letter Eh	Armenian	L&	Armenian	Armn	Armenian
1393	6	&#1393;	ձ	Armenian Small Letter Ja	Armenian	L&	Armenian	Armn	Armenian
1451	1	&#1451;	֫	Hebrew Accent Ole	Hebrew	Mn	Hebrew	Hebr	Hebrew
1509	1619	&#1509;	ץ	Hebrew Letter Final Tsadi	Hebrew	Lo	Hebrew	Hebr	Hebrew
1567	16218	&#1567;	؟	Arabic Question Mark	Common	Po	Arabic	Arab	Arabic
1625	1	&#1625;	ٙ	Arabic Zwarakay	Arabic	Mn	Arabic	Arab	Arabic
1683	89	&#1683;	ړ	Arabic Letter Reh With Ring	Arabic	Lo	Arabic	Arab	Arabic
1741	40	&#1741;	ۍ	Arabic Letter Yeh With Tail	Arabic	Lo	Arabic	Arab	Arabic
1857	1	&#1857;	݁	Syriac Qushshaya	Syriac	Mn	Syriac	Syrc	Syriac
1915	1	&#1915;	ݻ	Arabic Letter Yeh Barree With Extended Arabic-indic Digit Three Above	Arabic	Lo	Arabic	Arab	Arabic Supplement
2321	82	&#2321;	ऑ	Devanagari Letter Candra O	Devanagari	Lo	Devanagari	Deva	Devanagari
2379	4438	&#2379;	ो	Devanagari Vowel Sign O	Devanagari	Mc	Devanagari	Deva	Devanagari
2437	15	&#2437;	অ	Bengali Letter A	Bengali	Lo	Bengali	Beng	Bengali
2495	241	&#2495;	ি	Bengali Vowel Sign I	Bengali	Mc	Bengali	Beng	Bengali
2553	1	&#2553;	৹	Bengali Currency Denominator Sixteen	Bengali	No	Bengali	Beng	Bengali
2727	4	&#2727;	ધ	Gujarati Letter Dha	Gujarati	Lo	Gujarati	Gujr	Gujarati
2959	589	&#2959;	ஏ	Tamil Letter Ee	Tamil	Lo	Tamil	Taml	Tamil
3075	1	&#3075;	ః	Telugu Sign Visarga	Telugu	Mc	Telugu	Telu	Telugu
3307	1	&#3307;	೫	Kannada Digit Five	Kannada	Nd	Kannada	Knda	Kannada
3365	41	&#3365;	ഥ	Malayalam Letter Tha	Malayalam	Lo	Malayalam	Mlym	Malayalam
3539	48	&#3539;	ී	Sinhala Vowel Sign Diga Is-pilla	Sinhala	Mn	Sinhala	Sinh	Sinhala
3597	9758	&#3597;	ญ	Thai Character Yo Ying	Thai	Lo	Thai	Thai	Thai
3655	43932	&#3655;	็	Thai Character Maitaikhu	Thai	Mn	Thai	Thai	Thai
3713	1355	&#3713;	ກ	Lao Letter Ko	Lao	Lo	Lao	Laoo	Lao
3771	734	&#3771;	ົ	Lao Vowel Sign Mai Kon	Lao	Mn	Lao	Laoo	Lao
3887	2	&#3887;	༯	Tibetan Digit Half Six	Tibetan	No	Tibetan	Tibt	Tibetan
4119	86	&#4119;	ဗ	Myanmar Letter Ba	Myanmar	Lo	Myanmar	Mymr	Burmese (Myanmar)
4757	12	&#4757;	ን	Ethiopic Syllable Ne	Ethiopic	Lo	Ethiopic	Ethi	Ethiopic
5221	1	&#5221;	ᑥ	Canadian Syllabics Naskapi Twaa	Canadian_Aboriginal	Lo	Unified Canadian Aboriginal Syllabics	Cans	Unified Canadian Aboriginal Syllabics
5337	1	&#5337;	ᓙ	Canadian Syllabics Y-cree Loo	Canadian_Aboriginal	Lo	Unified Canadian Aboriginal Syllabics	Cans	Unified Canadian Aboriginal Syllabics
5395	1	&#5395;	ᔓ	Canadian Syllabics Sho	Canadian_Aboriginal	Lo	Unified Canadian Aboriginal Syllabics	Cans	Unified Canadian Aboriginal Syllabics
5511	1	&#5511;	ᖇ	Canadian Syllabics Tlhi	Canadian_Aboriginal	Lo	Unified Canadian Aboriginal Syllabics	Cans	Unified Canadian Aboriginal Syllabics
6033	445	&#6033;	ទ	Khmer Letter To	Khmer	Lo	Khmer	Khmr	Khmer
6091	507	&#6091;	់	Khmer Sign Bantoc	Khmer	Mn	Khmer	Khmr	Khmer
7483	2	&#7483;	ᴻ	Modifier Letter Capital Reversed N	Latin	Lm	(Phonetic)	_ipa	Phonetic Extensions
7831	2	&#7831;	ẗ	Latin Small Letter T With Diaeresis	Latin	L&	Latin	Latn	Latin Extended Additional
7889	2439	&#7889;	ố	Latin Small Letter O With Circumflex And Acute	Latin	L&	Latin	Latn	Latin Extended Additional
8005	5	&#8005;	ὅ	Greek Small Letter Omicron With Dasia And Oxia	Greek	L&	Greek	Grek	Greek Extended
8179	9	&#8179;	ῳ	Greek Small Letter Omega With Ypogegrammeni	Greek	L&	Greek	Grek	Greek Extended
8237	118	&#8237;	‭	Left-to-right Override	Common	Cf	(Symbols)	_sym	General Punctuation
8353	52	&#8353;	₡	Colon Sign	Common	Sc	(Symbols)	_sym	Currency Symbols
8469	11	&#8469;	ℕ	Double-struck Capital N	Common	L&	(Symbols)	_sym	Letterlike Symbols
8759	2	&#8759;	∷	Proportion	Common	Sm	(Mathematical)	_mth	Mathematical Operators
9223	3	&#9223;	␇	Symbol For Bell	Common	So	(Symbols)	_sym	Control Pictures
9281	1	&#9281;	⑁	Ocr Chair	Common	So	(Symbols)	_sym	Optical Character Recognition
9339	1	&#9339;	⑻	Parenthesized Digit Eight	Common	No	Latin	Latn	Enclosed Alphanumerics
9571	117	&#9571;	╣	Box Drawings Double Vertical And Left	Common	So	(Drawing)	_drw	Box Drawing
9629	6	&#9629;	▝	Quadrant Upper Right	Common	So	(Drawing)	_drw	Block Elements
9745	718	&#9745;	☑	Ballot Box With Check	Common	So	(Mathematical)	_mth	Miscellaneous Symbols
9803	39	&#9803;	♋	Cancer	Common	So	(Mathematical)	_mth	Miscellaneous Symbols
9861	4	&#9861;	⚅	Die Face-6	Common	So	(Mathematical)	_mth	Miscellaneous Symbols
