

*************************** 1. row ***************************
query_name: Histogram for length(name)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
69      18      0.0011  1640918 99.9761 837844  99.9531
70      15      0.0009  1640933 99.9770 837859  99.9549
71      9       0.0005  1640942 99.9775 837868  99.9560
72      18      0.0011  1640960 99.9786 837886  99.9581
73      12      0.0007  1640972 99.9793 837898  99.9596
74      2       0.0001  1640974 99.9795 837900  99.9598
75      10      0.0006  1640984 99.9801 837910  99.9610
76      3       0.0002  1640987 99.9803 837913  99.9613
77      3       0.0002  1640990 99.9804 837916  99.9617
78      1       0.0001  1640991 99.9805 837917  99.9618
79      2       0.0001  1640993 99.9806 837919  99.9621
80      60      0.0037  1641053 99.9843 837979  99.9692


*************************** 1. row ***************************
query_name: Histogram for length(description)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
0       1062730 64.7488 1062730 64.7488 0       0.0000
1       353     0.0215  1063083 64.7704 353     0.0610
2       746     0.0455  1063829 64.8158 1099    0.1899
3       1490    0.0908  1065319 64.9066 2589    0.4475
4       2131    0.1298  1067450 65.0364 4720    0.8158
5       2434    0.1483  1069884 65.1847 7154    1.2365
6       3003    0.1830  1072887 65.3677 10157   1.7555
7       3765    0.2294  1076652 65.5971 13922   2.4062
8       3926    0.2392  1080578 65.8363 17848   3.0848
9       4566    0.2782  1085144 66.1145 22414   3.8740
10      5060    0.3083  1090204 66.4228 27474   4.7485
11      5592    0.3407  1095796 66.7635 33066   5.7150
12      7189    0.4380  1102985 67.2015 40255   6.9575
13      6657    0.4056  1109642 67.6071 46912   8.1081
14      6657    0.4056  1116299 68.0126 53569   9.2587
15      7877    0.4799  1124176 68.4926 61446   10.6201
16      7781    0.4741  1131957 68.9666 69227   11.9650
17      7746    0.4719  1139703 69.4386 76973   13.3038
18      8641    0.5265  1148344 69.9650 85614   14.7972
19      8079    0.4922  1156423 70.4573 93693   16.1936
20      8113    0.4943  1164536 70.9516 101806  17.5958
21      9096    0.5542  1173632 71.5058 110902  19.1679
22      8374    0.5102  1182006 72.0160 119276  20.6153
23      8364    0.5096  1190370 72.5256 127640  22.0609
24      9025    0.5499  1199395 73.0754 136665  23.6207
25      8667    0.5281  1208062 73.6035 145332  25.1187
26      8252    0.5028  1216314 74.1062 153584  26.5449
27      8943    0.5449  1225257 74.6511 162527  28.0906
28      8202    0.4997  1233459 75.1508 170729  29.5082
